run,type,module,name,attrname,attrvalue,value
General-52-20230714-10:03:29-12292,runattr,,,configname,General,
General-52-20230714-10:03:29-12292,runattr,,,datetime,20230714-10:03:29,
General-52-20230714-10:03:29-12292,runattr,,,datetimef,20230714-100329,
General-52-20230714-10:03:29-12292,runattr,,,experiment,General,
General-52-20230714-10:03:29-12292,runattr,,,inifile,omnetpp.ini,
General-52-20230714-10:03:29-12292,runattr,,,iterationvars,"$0=0.5, $1=0.5",
General-52-20230714-10:03:29-12292,runattr,,,iterationvarsd,0.5/0.5,
General-52-20230714-10:03:29-12292,runattr,,,iterationvarsf,"0.5,0.5-",
General-52-20230714-10:03:29-12292,runattr,,,measurement,"$0=0.5, $1=0.5",
General-52-20230714-10:03:29-12292,runattr,,,network,Network,
General-52-20230714-10:03:29-12292,runattr,,,processid,12292,
General-52-20230714-10:03:29-12292,runattr,,,repetition,12,
General-52-20230714-10:03:29-12292,runattr,,,replication,#12,
General-52-20230714-10:03:29-12292,runattr,,,resultdir,results,
General-52-20230714-10:03:29-12292,runattr,,,runnumber,52,
General-52-20230714-10:03:29-12292,runattr,,,seedset,52,
General-52-20230714-10:03:29-12292,config,,,sim-time-limit,5000s,
General-52-20230714-10:03:29-12292,config,,,network,Network,
General-52-20230714-10:03:29-12292,config,,,config-recording,all,
General-52-20230714-10:03:29-12292,config,,,repeat,20,
General-52-20230714-10:03:29-12292,config,,,**.scalar-recording,true,
General-52-20230714-10:03:29-12292,config,,,warmup-period,1000s,
General-52-20230714-10:03:29-12292,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-52-20230714-10:03:29-12292,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-52-20230714-10:03:29-12292,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-52-20230714-10:03:29-12292,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-52-20230714-10:03:29-12292,config,,,**.first.Threshold,10,
General-52-20230714-10:03:29-12292,config,,,**.second.Threshold,3,
General-52-20230714-10:03:29-12292,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-52-20230714-10:03:29-12292,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-52-20230714-10:03:29-12292,config,,,**.first.capacity,10,
General-52-20230714-10:03:29-12292,config,,,**.second.capacity,-1,
General-53-20230714-10:03:29-14156,runattr,,,configname,General,
General-53-20230714-10:03:29-14156,runattr,,,datetime,20230714-10:03:29,
General-53-20230714-10:03:29-14156,runattr,,,datetimef,20230714-100329,
General-53-20230714-10:03:29-14156,runattr,,,experiment,General,
General-53-20230714-10:03:29-14156,runattr,,,inifile,omnetpp.ini,
General-53-20230714-10:03:29-14156,runattr,,,iterationvars,"$0=0.5, $1=0.5",
General-53-20230714-10:03:29-14156,runattr,,,iterationvarsd,0.5/0.5,
General-53-20230714-10:03:29-14156,runattr,,,iterationvarsf,"0.5,0.5-",
General-53-20230714-10:03:29-14156,runattr,,,measurement,"$0=0.5, $1=0.5",
General-53-20230714-10:03:29-14156,runattr,,,network,Network,
General-53-20230714-10:03:29-14156,runattr,,,processid,14156,
General-53-20230714-10:03:29-14156,runattr,,,repetition,13,
General-53-20230714-10:03:29-14156,runattr,,,replication,#13,
General-53-20230714-10:03:29-14156,runattr,,,resultdir,results,
General-53-20230714-10:03:29-14156,runattr,,,runnumber,53,
General-53-20230714-10:03:29-14156,runattr,,,seedset,53,
General-53-20230714-10:03:29-14156,config,,,sim-time-limit,5000s,
General-53-20230714-10:03:29-14156,config,,,network,Network,
General-53-20230714-10:03:29-14156,config,,,config-recording,all,
General-53-20230714-10:03:29-14156,config,,,repeat,20,
General-53-20230714-10:03:29-14156,config,,,**.scalar-recording,true,
General-53-20230714-10:03:29-14156,config,,,warmup-period,1000s,
General-53-20230714-10:03:29-14156,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-53-20230714-10:03:29-14156,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-53-20230714-10:03:29-14156,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-53-20230714-10:03:29-14156,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-53-20230714-10:03:29-14156,config,,,**.first.Threshold,10,
General-53-20230714-10:03:29-14156,config,,,**.second.Threshold,3,
General-53-20230714-10:03:29-14156,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-53-20230714-10:03:29-14156,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-53-20230714-10:03:29-14156,config,,,**.first.capacity,10,
General-53-20230714-10:03:29-14156,config,,,**.second.capacity,-1,
General-41-20230714-10:03:28-5320,runattr,,,configname,General,
General-41-20230714-10:03:28-5320,runattr,,,datetime,20230714-10:03:28,
General-41-20230714-10:03:28-5320,runattr,,,datetimef,20230714-100328,
General-41-20230714-10:03:28-5320,runattr,,,experiment,General,
General-41-20230714-10:03:28-5320,runattr,,,inifile,omnetpp.ini,
General-41-20230714-10:03:28-5320,runattr,,,iterationvars,"$0=0.5, $1=0.5",
General-41-20230714-10:03:28-5320,runattr,,,iterationvarsd,0.5/0.5,
General-41-20230714-10:03:28-5320,runattr,,,iterationvarsf,"0.5,0.5-",
