run,type,module,name,attrname,attrvalue,value
General-23-20230714-10:01:30-15472,runattr,,,configname,General,
General-23-20230714-10:01:30-15472,runattr,,,datetime,20230714-10:01:30,
General-23-20230714-10:01:30-15472,runattr,,,datetimef,20230714-100130,
General-23-20230714-10:01:30-15472,runattr,,,experiment,General,
General-23-20230714-10:01:30-15472,runattr,,,inifile,omnetpp.ini,
General-23-20230714-10:01:30-15472,runattr,,,iterationvars,"$0=1.0, $1=0.66",
General-23-20230714-10:01:30-15472,runattr,,,iterationvarsd,1.0/0.66,
General-23-20230714-10:01:30-15472,runattr,,,iterationvarsf,"1.0,0.66-",
General-23-20230714-10:01:30-15472,runattr,,,measurement,"$0=1.0, $1=0.66",
General-23-20230714-10:01:30-15472,runattr,,,network,Network,
General-23-20230714-10:01:30-15472,runattr,,,processid,15472,
General-23-20230714-10:01:30-15472,runattr,,,repetition,3,
General-23-20230714-10:01:30-15472,runattr,,,replication,#3,
General-23-20230714-10:01:30-15472,runattr,,,resultdir,results,
General-23-20230714-10:01:30-15472,runattr,,,runnumber,23,
General-23-20230714-10:01:30-15472,runattr,,,seedset,23,
General-23-20230714-10:01:30-15472,config,,,sim-time-limit,5000s,
General-23-20230714-10:01:30-15472,config,,,network,Network,
General-23-20230714-10:01:30-15472,config,,,config-recording,all,
General-23-20230714-10:01:30-15472,config,,,repeat,20,
General-23-20230714-10:01:30-15472,config,,,**.scalar-recording,true,
General-23-20230714-10:01:30-15472,config,,,warmup-period,1000s,
General-23-20230714-10:01:30-15472,config,,,**.S1.interArrivalTime,exponential(1.0s),
General-23-20230714-10:01:30-15472,config,,,**.S2.interArrivalTime,exponential(0.66s),
General-23-20230714-10:01:30-15472,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-23-20230714-10:01:30-15472,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-23-20230714-10:01:30-15472,config,,,**.first.Threshold,10,
General-23-20230714-10:01:30-15472,config,,,**.second.Threshold,3,
General-23-20230714-10:01:30-15472,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-23-20230714-10:01:30-15472,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-23-20230714-10:01:30-15472,config,,,**.first.capacity,10,
General-23-20230714-10:01:30-15472,config,,,**.second.capacity,-1,
General-33-20230714-10:01:31-1408,runattr,,,configname,General,
General-33-20230714-10:01:31-1408,runattr,,,datetime,20230714-10:01:31,
General-33-20230714-10:01:31-1408,runattr,,,datetimef,20230714-100131,
General-33-20230714-10:01:31-1408,runattr,,,experiment,General,
General-33-20230714-10:01:31-1408,runattr,,,inifile,omnetpp.ini,
General-33-20230714-10:01:31-1408,runattr,,,iterationvars,"$0=1.0, $1=0.66",
General-33-20230714-10:01:31-1408,runattr,,,iterationvarsd,1.0/0.66,
General-33-20230714-10:01:31-1408,runattr,,,iterationvarsf,"1.0,0.66-",
General-33-20230714-10:01:31-1408,runattr,,,measurement,"$0=1.0, $1=0.66",
General-33-20230714-10:01:31-1408,runattr,,,network,Network,
General-33-20230714-10:01:31-1408,runattr,,,processid,1408,
General-33-20230714-10:01:31-1408,runattr,,,repetition,13,
General-33-20230714-10:01:31-1408,runattr,,,replication,#13,
General-33-20230714-10:01:31-1408,runattr,,,resultdir,results,
General-33-20230714-10:01:31-1408,runattr,,,runnumber,33,
General-33-20230714-10:01:31-1408,runattr,,,seedset,33,
General-33-20230714-10:01:31-1408,config,,,sim-time-limit,5000s,
General-33-20230714-10:01:31-1408,config,,,network,Network,
General-33-20230714-10:01:31-1408,config,,,config-recording,all,
General-33-20230714-10:01:31-1408,config,,,repeat,20,
General-33-20230714-10:01:31-1408,config,,,**.scalar-recording,true,
General-33-20230714-10:01:31-1408,config,,,warmup-period,1000s,
General-33-20230714-10:01:31-1408,config,,,**.S1.interArrivalTime,exponential(1.0s),
General-33-20230714-10:01:31-1408,config,,,**.S2.interArrivalTime,exponential(0.66s),
General-33-20230714-10:01:31-1408,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-33-20230714-10:01:31-1408,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-33-20230714-10:01:31-1408,config,,,**.first.Threshold,10,
General-33-20230714-10:01:31-1408,config,,,**.second.Threshold,3,
General-33-20230714-10:01:31-1408,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-33-20230714-10:01:31-1408,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-33-20230714-10:01:31-1408,config,,,**.first.capacity,10,
General-33-20230714-10:01:31-1408,config,,,**.second.capacity,-1,
General-36-20230714-10:01:31-1404,runattr,,,configname,General,
General-36-20230714-10:01:31-1404,runattr,,,datetime,20230714-10:01:31,
General-36-20230714-10:01:31-1404,runattr,,,datetimef,20230714-100131,
General-36-20230714-10:01:31-1404,runattr,,,experiment,General,
General-36-20230714-10:01:31-1404,runattr,,,inifile,omnetpp.ini,
General-36-20230714-10:01:31-1404,runattr,,,iterationvars,"$0=1.0, $1=0.66",
General-36-20230714-10:01:31-1404,runattr,,,iterationvarsd,1.0/0.66,
General-36-20230714-10:01:31-1404,runattr,,,iterationvarsf,"1.0,0.66-",
