run,type,module,name,attrname,attrvalue,value
General-160-20230714-10:03:36-9988,runattr,,,configname,General,
General-160-20230714-10:03:36-9988,runattr,,,datetime,20230714-10:03:36,
General-160-20230714-10:03:36-9988,runattr,,,datetimef,20230714-100336,
General-160-20230714-10:03:36-9988,runattr,,,experiment,General,
General-160-20230714-10:03:36-9988,runattr,,,inifile,omnetpp.ini,
General-160-20230714-10:03:36-9988,runattr,,,iterationvars,"$0=0.05, $1=0.5",
General-160-20230714-10:03:36-9988,runattr,,,iterationvarsd,0.05/0.5,
General-160-20230714-10:03:36-9988,runattr,,,iterationvarsf,"0.05,0.5-",
General-160-20230714-10:03:36-9988,runattr,,,measurement,"$0=0.05, $1=0.5",
General-160-20230714-10:03:36-9988,runattr,,,network,Network,
General-160-20230714-10:03:36-9988,runattr,,,processid,9988,
General-160-20230714-10:03:36-9988,runattr,,,repetition,0,
General-160-20230714-10:03:36-9988,runattr,,,replication,#0,
General-160-20230714-10:03:36-9988,runattr,,,resultdir,results,
General-160-20230714-10:03:36-9988,runattr,,,runnumber,160,
General-160-20230714-10:03:36-9988,runattr,,,seedset,160,
General-160-20230714-10:03:36-9988,config,,,sim-time-limit,5000s,
General-160-20230714-10:03:36-9988,config,,,network,Network,
General-160-20230714-10:03:36-9988,config,,,config-recording,all,
General-160-20230714-10:03:36-9988,config,,,repeat,20,
General-160-20230714-10:03:36-9988,config,,,**.scalar-recording,true,
General-160-20230714-10:03:36-9988,config,,,warmup-period,1000s,
General-160-20230714-10:03:36-9988,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-160-20230714-10:03:36-9988,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-160-20230714-10:03:36-9988,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-160-20230714-10:03:36-9988,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-160-20230714-10:03:36-9988,config,,,**.first.Threshold,10,
General-160-20230714-10:03:36-9988,config,,,**.second.Threshold,3,
General-160-20230714-10:03:36-9988,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-160-20230714-10:03:36-9988,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-160-20230714-10:03:36-9988,config,,,**.first.capacity,10,
General-160-20230714-10:03:36-9988,config,,,**.second.capacity,-1,
General-177-20230714-10:03:37-13840,runattr,,,configname,General,
General-177-20230714-10:03:37-13840,runattr,,,datetime,20230714-10:03:37,
General-177-20230714-10:03:37-13840,runattr,,,datetimef,20230714-100337,
General-177-20230714-10:03:37-13840,runattr,,,experiment,General,
General-177-20230714-10:03:37-13840,runattr,,,inifile,omnetpp.ini,
General-177-20230714-10:03:37-13840,runattr,,,iterationvars,"$0=0.05, $1=0.5",
General-177-20230714-10:03:37-13840,runattr,,,iterationvarsd,0.05/0.5,
General-177-20230714-10:03:37-13840,runattr,,,iterationvarsf,"0.05,0.5-",
General-177-20230714-10:03:37-13840,runattr,,,measurement,"$0=0.05, $1=0.5",
General-177-20230714-10:03:37-13840,runattr,,,network,Network,
General-177-20230714-10:03:37-13840,runattr,,,processid,13840,
General-177-20230714-10:03:37-13840,runattr,,,repetition,17,
General-177-20230714-10:03:37-13840,runattr,,,replication,#17,
General-177-20230714-10:03:37-13840,runattr,,,resultdir,results,
General-177-20230714-10:03:37-13840,runattr,,,runnumber,177,
General-177-20230714-10:03:37-13840,runattr,,,seedset,177,
General-177-20230714-10:03:37-13840,config,,,sim-time-limit,5000s,
General-177-20230714-10:03:37-13840,config,,,network,Network,
General-177-20230714-10:03:37-13840,config,,,config-recording,all,
General-177-20230714-10:03:37-13840,config,,,repeat,20,
General-177-20230714-10:03:37-13840,config,,,**.scalar-recording,true,
General-177-20230714-10:03:37-13840,config,,,warmup-period,1000s,
General-177-20230714-10:03:37-13840,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-177-20230714-10:03:37-13840,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-177-20230714-10:03:37-13840,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-177-20230714-10:03:37-13840,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-177-20230714-10:03:37-13840,config,,,**.first.Threshold,10,
General-177-20230714-10:03:37-13840,config,,,**.second.Threshold,3,
General-177-20230714-10:03:37-13840,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-177-20230714-10:03:37-13840,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-177-20230714-10:03:37-13840,config,,,**.first.capacity,10,
General-177-20230714-10:03:37-13840,config,,,**.second.capacity,-1,
General-178-20230714-10:03:38-8852,runattr,,,configname,General,
General-178-20230714-10:03:38-8852,runattr,,,datetime,20230714-10:03:38,
General-178-20230714-10:03:38-8852,runattr,,,datetimef,20230714-100338,
General-178-20230714-10:03:38-8852,runattr,,,experiment,General,
General-178-20230714-10:03:38-8852,runattr,,,inifile,omnetpp.ini,
General-178-20230714-10:03:38-8852,runattr,,,iterationvars,"$0=0.05, $1=0.5",
General-178-20230714-10:03:38-8852,runattr,,,iterationvarsd,0.05/0.5,
General-178-20230714-10:03:38-8852,runattr,,,iterationvarsf,"0.05,0.5-",
General-178-20230714-10:03:38-8852,runattr,,,measurement,"$0=0.05, $1=0.5",
General-178-20230714-10:03:38-8852,runattr,,,network,Network,
General-178-20230714-10:03:38-8852,runattr,,,processid,8852,
General-178-20230714-10:03:38-8852,runattr,,,repetition,18,
General-178-20230714-10:03:38-8852,runattr,,,replication,#18,
General-178-20230714-10:03:38-8852,runattr,,,resultdir,results,
General-178-20230714-10:03:38-8852,runattr,,,runnumber,178,
General-178-20230714-10:03:38-8852,runattr,,,seedset,178,
General-178-20230714-10:03:38-8852,config,,,sim-time-limit,5000s,
General-178-20230714-10:03:38-8852,config,,,network,Network,
General-178-20230714-10:03:38-8852,config,,,config-recording,all,
General-178-20230714-10:03:38-8852,config,,,repeat,20,
General-178-20230714-10:03:38-8852,config,,,**.scalar-recording,true,
General-178-20230714-10:03:38-8852,config,,,warmup-period,1000s,
General-178-20230714-10:03:38-8852,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-178-20230714-10:03:38-8852,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-178-20230714-10:03:38-8852,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
