run,type,module,name,attrname,attrvalue,value
General-197-20230714-10:07:13-7076,runattr,,,configname,General,
General-197-20230714-10:07:13-7076,runattr,,,datetime,20230714-10:07:13,
General-197-20230714-10:07:13-7076,runattr,,,datetimef,20230714-100713,
General-197-20230714-10:07:13-7076,runattr,,,experiment,General,
General-197-20230714-10:07:13-7076,runattr,,,inifile,omnetpp.ini,
General-197-20230714-10:07:13-7076,runattr,,,iterationvars,"$0=0.05, $1=1",
General-197-20230714-10:07:13-7076,runattr,,,iterationvarsd,0.05/1,
General-197-20230714-10:07:13-7076,runattr,,,iterationvarsf,"0.05,1-",
General-197-20230714-10:07:13-7076,runattr,,,measurement,"$0=0.05, $1=1",
General-197-20230714-10:07:13-7076,runattr,,,network,Network,
General-197-20230714-10:07:13-7076,runattr,,,processid,7076,
General-197-20230714-10:07:13-7076,runattr,,,repetition,17,
General-197-20230714-10:07:13-7076,runattr,,,replication,#17,
General-197-20230714-10:07:13-7076,runattr,,,resultdir,results,
General-197-20230714-10:07:13-7076,runattr,,,runnumber,197,
General-197-20230714-10:07:13-7076,runattr,,,seedset,197,
General-197-20230714-10:07:13-7076,config,,,sim-time-limit,5000s,
General-197-20230714-10:07:13-7076,config,,,network,Network,
General-197-20230714-10:07:13-7076,config,,,config-recording,all,
General-197-20230714-10:07:13-7076,config,,,repeat,20,
General-197-20230714-10:07:13-7076,config,,,**.scalar-recording,true,
General-197-20230714-10:07:13-7076,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-197-20230714-10:07:13-7076,config,,,**.S2.interArrivalTime,exponential(1s),
General-197-20230714-10:07:13-7076,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-197-20230714-10:07:13-7076,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-197-20230714-10:07:13-7076,config,,,**.first.Threshold,10,
General-197-20230714-10:07:13-7076,config,,,**.second.Threshold,3,
General-197-20230714-10:07:13-7076,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-197-20230714-10:07:13-7076,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-197-20230714-10:07:13-7076,config,,,**.first.capacity,10,
General-197-20230714-10:07:13-7076,config,,,**.second.capacity,-1,
General-193-20230714-10:07:12-5756,runattr,,,configname,General,
General-193-20230714-10:07:12-5756,runattr,,,datetime,20230714-10:07:12,
General-193-20230714-10:07:12-5756,runattr,,,datetimef,20230714-100712,
General-193-20230714-10:07:12-5756,runattr,,,experiment,General,
General-193-20230714-10:07:12-5756,runattr,,,inifile,omnetpp.ini,
General-193-20230714-10:07:12-5756,runattr,,,iterationvars,"$0=0.05, $1=1",
General-193-20230714-10:07:12-5756,runattr,,,iterationvarsd,0.05/1,
General-193-20230714-10:07:12-5756,runattr,,,iterationvarsf,"0.05,1-",
General-193-20230714-10:07:12-5756,runattr,,,measurement,"$0=0.05, $1=1",
General-193-20230714-10:07:12-5756,runattr,,,network,Network,
General-193-20230714-10:07:12-5756,runattr,,,processid,5756,
General-193-20230714-10:07:12-5756,runattr,,,repetition,13,
General-193-20230714-10:07:12-5756,runattr,,,replication,#13,
General-193-20230714-10:07:12-5756,runattr,,,resultdir,results,
General-193-20230714-10:07:12-5756,runattr,,,runnumber,193,
General-193-20230714-10:07:12-5756,runattr,,,seedset,193,
General-193-20230714-10:07:12-5756,config,,,sim-time-limit,5000s,
General-193-20230714-10:07:12-5756,config,,,network,Network,
General-193-20230714-10:07:12-5756,config,,,config-recording,all,
General-193-20230714-10:07:12-5756,config,,,repeat,20,
General-193-20230714-10:07:12-5756,config,,,**.scalar-recording,true,
General-193-20230714-10:07:12-5756,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-193-20230714-10:07:12-5756,config,,,**.S2.interArrivalTime,exponential(1s),
General-193-20230714-10:07:12-5756,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-193-20230714-10:07:12-5756,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-193-20230714-10:07:12-5756,config,,,**.first.Threshold,10,
General-193-20230714-10:07:12-5756,config,,,**.second.Threshold,3,
General-193-20230714-10:07:12-5756,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-193-20230714-10:07:12-5756,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-193-20230714-10:07:12-5756,config,,,**.first.capacity,10,
General-193-20230714-10:07:12-5756,config,,,**.second.capacity,-1,
General-194-20230714-10:07:12-16024,runattr,,,configname,General,
General-194-20230714-10:07:12-16024,runattr,,,datetime,20230714-10:07:12,
General-194-20230714-10:07:12-16024,runattr,,,datetimef,20230714-100712,
General-194-20230714-10:07:12-16024,runattr,,,experiment,General,
General-194-20230714-10:07:12-16024,runattr,,,inifile,omnetpp.ini,
General-194-20230714-10:07:12-16024,runattr,,,iterationvars,"$0=0.05, $1=1",
General-194-20230714-10:07:12-16024,runattr,,,iterationvarsd,0.05/1,
General-194-20230714-10:07:12-16024,runattr,,,iterationvarsf,"0.05,1-",
General-194-20230714-10:07:12-16024,runattr,,,measurement,"$0=0.05, $1=1",
General-194-20230714-10:07:12-16024,runattr,,,network,Network,
General-194-20230714-10:07:12-16024,runattr,,,processid,16024,
General-194-20230714-10:07:12-16024,runattr,,,repetition,14,
General-194-20230714-10:07:12-16024,runattr,,,replication,#14,
General-194-20230714-10:07:12-16024,runattr,,,resultdir,results,
General-194-20230714-10:07:12-16024,runattr,,,runnumber,194,
General-194-20230714-10:07:12-16024,runattr,,,seedset,194,
General-194-20230714-10:07:12-16024,config,,,sim-time-limit,5000s,
General-194-20230714-10:07:12-16024,config,,,network,Network,
General-194-20230714-10:07:12-16024,config,,,config-recording,all,
General-194-20230714-10:07:12-16024,config,,,repeat,20,
General-194-20230714-10:07:12-16024,config,,,**.scalar-recording,true,
General-194-20230714-10:07:12-16024,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-194-20230714-10:07:12-16024,config,,,**.S2.interArrivalTime,exponential(1s),
General-194-20230714-10:07:12-16024,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-194-20230714-10:07:12-16024,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-194-20230714-10:07:12-16024,config,,,**.first.Threshold,10,
General-194-20230714-10:07:12-16024,config,,,**.second.Threshold,3,
General-194-20230714-10:07:12-16024,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-194-20230714-10:07:12-16024,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-194-20230714-10:07:12-16024,config,,,**.first.capacity,10,
General-194-20230714-10:07:12-16024,config,,,**.second.capacity,-1,
General-196-20230714-10:07:12-11428,runattr,,,configname,General,
General-196-20230714-10:07:12-11428,runattr,,,datetime,20230714-10:07:12,
General-196-20230714-10:07:12-11428,runattr,,,datetimef,20230714-100712,
General-196-20230714-10:07:12-11428,runattr,,,experiment,General,
General-196-20230714-10:07:12-11428,runattr,,,inifile,omnetpp.ini,
General-196-20230714-10:07:12-11428,runattr,,,iterationvars,"$0=0.05, $1=1",
General-196-20230714-10:07:12-11428,runattr,,,iterationvarsd,0.05/1,
General-196-20230714-10:07:12-11428,runattr,,,iterationvarsf,"0.05,1-",
General-196-20230714-10:07:12-11428,runattr,,,measurement,"$0=0.05, $1=1",
General-196-20230714-10:07:12-11428,runattr,,,network,Network,
General-196-20230714-10:07:12-11428,runattr,,,processid,11428,
General-196-20230714-10:07:12-11428,runattr,,,repetition,16,
General-196-20230714-10:07:12-11428,runattr,,,replication,#16,
General-196-20230714-10:07:12-11428,runattr,,,resultdir,results,
General-196-20230714-10:07:12-11428,runattr,,,runnumber,196,
General-196-20230714-10:07:12-11428,runattr,,,seedset,196,
General-196-20230714-10:07:12-11428,config,,,sim-time-limit,5000s,
General-196-20230714-10:07:12-11428,config,,,network,Network,
General-196-20230714-10:07:12-11428,config,,,config-recording,all,
General-196-20230714-10:07:12-11428,config,,,repeat,20,
General-196-20230714-10:07:12-11428,config,,,**.scalar-recording,true,
General-196-20230714-10:07:12-11428,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-196-20230714-10:07:12-11428,config,,,**.S2.interArrivalTime,exponential(1s),
General-196-20230714-10:07:12-11428,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-196-20230714-10:07:12-11428,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-196-20230714-10:07:12-11428,config,,,**.first.Threshold,10,
General-196-20230714-10:07:12-11428,config,,,**.second.Threshold,3,
General-196-20230714-10:07:12-11428,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-196-20230714-10:07:12-11428,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-196-20230714-10:07:12-11428,config,,,**.first.capacity,10,
General-196-20230714-10:07:12-11428,config,,,**.second.capacity,-1,
General-199-20230714-10:07:13-2592,runattr,,,configname,General,
General-199-20230714-10:07:13-2592,runattr,,,datetime,20230714-10:07:13,
General-199-20230714-10:07:13-2592,runattr,,,datetimef,20230714-100713,
General-199-20230714-10:07:13-2592,runattr,,,experiment,General,
General-199-20230714-10:07:13-2592,runattr,,,inifile,omnetpp.ini,
General-199-20230714-10:07:13-2592,runattr,,,iterationvars,"$0=0.05, $1=1",
General-199-20230714-10:07:13-2592,runattr,,,iterationvarsd,0.05/1,
General-199-20230714-10:07:13-2592,runattr,,,iterationvarsf,"0.05,1-",
General-199-20230714-10:07:13-2592,runattr,,,measurement,"$0=0.05, $1=1",
General-199-20230714-10:07:13-2592,runattr,,,network,Network,
General-199-20230714-10:07:13-2592,runattr,,,processid,2592,
General-199-20230714-10:07:13-2592,runattr,,,repetition,19,
General-199-20230714-10:07:13-2592,runattr,,,replication,#19,
General-199-20230714-10:07:13-2592,runattr,,,resultdir,results,
General-199-20230714-10:07:13-2592,runattr,,,runnumber,199,
General-199-20230714-10:07:13-2592,runattr,,,seedset,199,
General-199-20230714-10:07:13-2592,config,,,sim-time-limit,5000s,
General-199-20230714-10:07:13-2592,config,,,network,Network,
General-199-20230714-10:07:13-2592,config,,,config-recording,all,
General-199-20230714-10:07:13-2592,config,,,repeat,20,
General-199-20230714-10:07:13-2592,config,,,**.scalar-recording,true,
General-199-20230714-10:07:13-2592,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-199-20230714-10:07:13-2592,config,,,**.S2.interArrivalTime,exponential(1s),
General-199-20230714-10:07:13-2592,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-199-20230714-10:07:13-2592,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-199-20230714-10:07:13-2592,config,,,**.first.Threshold,10,
General-199-20230714-10:07:13-2592,config,,,**.second.Threshold,3,
General-199-20230714-10:07:13-2592,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-199-20230714-10:07:13-2592,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-199-20230714-10:07:13-2592,config,,,**.first.capacity,10,
General-199-20230714-10:07:13-2592,config,,,**.second.capacity,-1,
General-198-20230714-10:07:13-14184,runattr,,,configname,General,
General-198-20230714-10:07:13-14184,runattr,,,datetime,20230714-10:07:13,
General-198-20230714-10:07:13-14184,runattr,,,datetimef,20230714-100713,
General-198-20230714-10:07:13-14184,runattr,,,experiment,General,
General-198-20230714-10:07:13-14184,runattr,,,inifile,omnetpp.ini,
General-198-20230714-10:07:13-14184,runattr,,,iterationvars,"$0=0.05, $1=1",
General-198-20230714-10:07:13-14184,runattr,,,iterationvarsd,0.05/1,
General-198-20230714-10:07:13-14184,runattr,,,iterationvarsf,"0.05,1-",
General-198-20230714-10:07:13-14184,runattr,,,measurement,"$0=0.05, $1=1",
General-198-20230714-10:07:13-14184,runattr,,,network,Network,
General-198-20230714-10:07:13-14184,runattr,,,processid,14184,
General-198-20230714-10:07:13-14184,runattr,,,repetition,18,
General-198-20230714-10:07:13-14184,runattr,,,replication,#18,
General-198-20230714-10:07:13-14184,runattr,,,resultdir,results,
General-198-20230714-10:07:13-14184,runattr,,,runnumber,198,
General-198-20230714-10:07:13-14184,runattr,,,seedset,198,
General-198-20230714-10:07:13-14184,config,,,sim-time-limit,5000s,
General-198-20230714-10:07:13-14184,config,,,network,Network,
General-198-20230714-10:07:13-14184,config,,,config-recording,all,
General-198-20230714-10:07:13-14184,config,,,repeat,20,
General-198-20230714-10:07:13-14184,config,,,**.scalar-recording,true,
General-198-20230714-10:07:13-14184,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-198-20230714-10:07:13-14184,config,,,**.S2.interArrivalTime,exponential(1s),
General-198-20230714-10:07:13-14184,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-198-20230714-10:07:13-14184,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-198-20230714-10:07:13-14184,config,,,**.first.Threshold,10,
General-198-20230714-10:07:13-14184,config,,,**.second.Threshold,3,
General-198-20230714-10:07:13-14184,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-198-20230714-10:07:13-14184,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-198-20230714-10:07:13-14184,config,,,**.first.capacity,10,
General-198-20230714-10:07:13-14184,config,,,**.second.capacity,-1,
General-182-20230714-10:07:11-15768,runattr,,,configname,General,
General-182-20230714-10:07:11-15768,runattr,,,datetime,20230714-10:07:11,
General-182-20230714-10:07:11-15768,runattr,,,datetimef,20230714-100711,
General-182-20230714-10:07:11-15768,runattr,,,experiment,General,
General-182-20230714-10:07:11-15768,runattr,,,inifile,omnetpp.ini,
General-182-20230714-10:07:11-15768,runattr,,,iterationvars,"$0=0.05, $1=1",
General-182-20230714-10:07:11-15768,runattr,,,iterationvarsd,0.05/1,
General-182-20230714-10:07:11-15768,runattr,,,iterationvarsf,"0.05,1-",
General-182-20230714-10:07:11-15768,runattr,,,measurement,"$0=0.05, $1=1",
General-182-20230714-10:07:11-15768,runattr,,,network,Network,
General-182-20230714-10:07:11-15768,runattr,,,processid,15768,
General-182-20230714-10:07:11-15768,runattr,,,repetition,2,
General-182-20230714-10:07:11-15768,runattr,,,replication,#2,
General-182-20230714-10:07:11-15768,runattr,,,resultdir,results,
General-182-20230714-10:07:11-15768,runattr,,,runnumber,182,
General-182-20230714-10:07:11-15768,runattr,,,seedset,182,
General-182-20230714-10:07:11-15768,config,,,sim-time-limit,5000s,
General-182-20230714-10:07:11-15768,config,,,network,Network,
General-182-20230714-10:07:11-15768,config,,,config-recording,all,
General-182-20230714-10:07:11-15768,config,,,repeat,20,
General-182-20230714-10:07:11-15768,config,,,**.scalar-recording,true,
General-182-20230714-10:07:11-15768,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-182-20230714-10:07:11-15768,config,,,**.S2.interArrivalTime,exponential(1s),
General-182-20230714-10:07:11-15768,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-182-20230714-10:07:11-15768,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-182-20230714-10:07:11-15768,config,,,**.first.Threshold,10,
General-182-20230714-10:07:11-15768,config,,,**.second.Threshold,3,
General-182-20230714-10:07:11-15768,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-182-20230714-10:07:11-15768,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-182-20230714-10:07:11-15768,config,,,**.first.capacity,10,
General-182-20230714-10:07:11-15768,config,,,**.second.capacity,-1,
General-183-20230714-10:07:11-3656,runattr,,,configname,General,
General-183-20230714-10:07:11-3656,runattr,,,datetime,20230714-10:07:11,
General-183-20230714-10:07:11-3656,runattr,,,datetimef,20230714-100711,
General-183-20230714-10:07:11-3656,runattr,,,experiment,General,
General-183-20230714-10:07:11-3656,runattr,,,inifile,omnetpp.ini,
General-183-20230714-10:07:11-3656,runattr,,,iterationvars,"$0=0.05, $1=1",
General-183-20230714-10:07:11-3656,runattr,,,iterationvarsd,0.05/1,
General-183-20230714-10:07:11-3656,runattr,,,iterationvarsf,"0.05,1-",
General-183-20230714-10:07:11-3656,runattr,,,measurement,"$0=0.05, $1=1",
General-183-20230714-10:07:11-3656,runattr,,,network,Network,
General-183-20230714-10:07:11-3656,runattr,,,processid,3656,
General-183-20230714-10:07:11-3656,runattr,,,repetition,3,
General-183-20230714-10:07:11-3656,runattr,,,replication,#3,
General-183-20230714-10:07:11-3656,runattr,,,resultdir,results,
General-183-20230714-10:07:11-3656,runattr,,,runnumber,183,
General-183-20230714-10:07:11-3656,runattr,,,seedset,183,
General-183-20230714-10:07:11-3656,config,,,sim-time-limit,5000s,
General-183-20230714-10:07:11-3656,config,,,network,Network,
General-183-20230714-10:07:11-3656,config,,,config-recording,all,
General-183-20230714-10:07:11-3656,config,,,repeat,20,
General-183-20230714-10:07:11-3656,config,,,**.scalar-recording,true,
General-183-20230714-10:07:11-3656,config,,,**.S1.interArrivalTime,exponential(0.05s),
General-183-20230714-10:07:11-3656,config,,,**.S2.interArrivalTime,exponential(1s),
General-183-20230714-10:07:11-3656,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-183-20230714-10:07:11-3656,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-183-20230714-10:07:11-3656,config,,,**.first.Threshold,10,
