run,type,module,name,attrname,attrvalue,value
General-123-20230714-10:08:23-1208,runattr,,,configname,General,
General-123-20230714-10:08:23-1208,runattr,,,datetime,20230714-10:08:23,
General-123-20230714-10:08:23-1208,runattr,,,datetimef,20230714-100823,
General-123-20230714-10:08:23-1208,runattr,,,experiment,General,
General-123-20230714-10:08:23-1208,runattr,,,inifile,omnetpp.ini,
General-123-20230714-10:08:23-1208,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-123-20230714-10:08:23-1208,runattr,,,iterationvarsd,0.28/0.5,
General-123-20230714-10:08:23-1208,runattr,,,iterationvarsf,"0.28,0.5-",
General-123-20230714-10:08:23-1208,runattr,,,measurement,"$0=0.28, $1=0.5",
General-123-20230714-10:08:23-1208,runattr,,,network,Network,
General-123-20230714-10:08:23-1208,runattr,,,processid,1208,
General-123-20230714-10:08:23-1208,runattr,,,repetition,3,
General-123-20230714-10:08:23-1208,runattr,,,replication,#3,
General-123-20230714-10:08:23-1208,runattr,,,resultdir,results,
General-123-20230714-10:08:23-1208,runattr,,,runnumber,123,
General-123-20230714-10:08:23-1208,runattr,,,seedset,123,
General-123-20230714-10:08:23-1208,config,,,sim-time-limit,5000s,
General-123-20230714-10:08:23-1208,config,,,network,Network,
General-123-20230714-10:08:23-1208,config,,,config-recording,all,
General-123-20230714-10:08:23-1208,config,,,repeat,20,
General-123-20230714-10:08:23-1208,config,,,**.scalar-recording,true,
General-123-20230714-10:08:23-1208,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-123-20230714-10:08:23-1208,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-123-20230714-10:08:23-1208,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-123-20230714-10:08:23-1208,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-123-20230714-10:08:23-1208,config,,,**.first.Threshold,10,
General-123-20230714-10:08:23-1208,config,,,**.second.Threshold,3,
General-123-20230714-10:08:23-1208,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-123-20230714-10:08:23-1208,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-123-20230714-10:08:23-1208,config,,,**.first.capacity,10,
General-123-20230714-10:08:23-1208,config,,,**.second.capacity,-1,
General-132-20230714-10:08:24-3208,runattr,,,configname,General,
General-132-20230714-10:08:24-3208,runattr,,,datetime,20230714-10:08:24,
General-132-20230714-10:08:24-3208,runattr,,,datetimef,20230714-100824,
General-132-20230714-10:08:24-3208,runattr,,,experiment,General,
General-132-20230714-10:08:24-3208,runattr,,,inifile,omnetpp.ini,
General-132-20230714-10:08:24-3208,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-132-20230714-10:08:24-3208,runattr,,,iterationvarsd,0.28/0.5,
General-132-20230714-10:08:24-3208,runattr,,,iterationvarsf,"0.28,0.5-",
General-132-20230714-10:08:24-3208,runattr,,,measurement,"$0=0.28, $1=0.5",
General-132-20230714-10:08:24-3208,runattr,,,network,Network,
General-132-20230714-10:08:24-3208,runattr,,,processid,3208,
General-132-20230714-10:08:24-3208,runattr,,,repetition,12,
General-132-20230714-10:08:24-3208,runattr,,,replication,#12,
General-132-20230714-10:08:24-3208,runattr,,,resultdir,results,
General-132-20230714-10:08:24-3208,runattr,,,runnumber,132,
General-132-20230714-10:08:24-3208,runattr,,,seedset,132,
General-132-20230714-10:08:24-3208,config,,,sim-time-limit,5000s,
General-132-20230714-10:08:24-3208,config,,,network,Network,
General-132-20230714-10:08:24-3208,config,,,config-recording,all,
General-132-20230714-10:08:24-3208,config,,,repeat,20,
General-132-20230714-10:08:24-3208,config,,,**.scalar-recording,true,
General-132-20230714-10:08:24-3208,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-132-20230714-10:08:24-3208,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-132-20230714-10:08:24-3208,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-132-20230714-10:08:24-3208,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-132-20230714-10:08:24-3208,config,,,**.first.Threshold,10,
General-132-20230714-10:08:24-3208,config,,,**.second.Threshold,3,
General-132-20230714-10:08:24-3208,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-132-20230714-10:08:24-3208,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-132-20230714-10:08:24-3208,config,,,**.first.capacity,10,
General-132-20230714-10:08:24-3208,config,,,**.second.capacity,-1,
General-133-20230714-10:08:24-11736,runattr,,,configname,General,
General-133-20230714-10:08:24-11736,runattr,,,datetime,20230714-10:08:24,
General-133-20230714-10:08:24-11736,runattr,,,datetimef,20230714-100824,
General-133-20230714-10:08:24-11736,runattr,,,experiment,General,
General-133-20230714-10:08:24-11736,runattr,,,inifile,omnetpp.ini,
General-133-20230714-10:08:24-11736,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-133-20230714-10:08:24-11736,runattr,,,iterationvarsd,0.28/0.5,
General-133-20230714-10:08:24-11736,runattr,,,iterationvarsf,"0.28,0.5-",
General-133-20230714-10:08:24-11736,runattr,,,measurement,"$0=0.28, $1=0.5",
General-133-20230714-10:08:24-11736,runattr,,,network,Network,
General-133-20230714-10:08:24-11736,runattr,,,processid,11736,
General-133-20230714-10:08:24-11736,runattr,,,repetition,13,
General-133-20230714-10:08:24-11736,runattr,,,replication,#13,
General-133-20230714-10:08:24-11736,runattr,,,resultdir,results,
General-133-20230714-10:08:24-11736,runattr,,,runnumber,133,
General-133-20230714-10:08:24-11736,runattr,,,seedset,133,
General-133-20230714-10:08:24-11736,config,,,sim-time-limit,5000s,
General-133-20230714-10:08:24-11736,config,,,network,Network,
General-133-20230714-10:08:24-11736,config,,,config-recording,all,
General-133-20230714-10:08:24-11736,config,,,repeat,20,
General-133-20230714-10:08:24-11736,config,,,**.scalar-recording,true,
General-133-20230714-10:08:24-11736,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-133-20230714-10:08:24-11736,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-133-20230714-10:08:24-11736,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-133-20230714-10:08:24-11736,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-133-20230714-10:08:24-11736,config,,,**.first.Threshold,10,
General-133-20230714-10:08:24-11736,config,,,**.second.Threshold,3,
General-133-20230714-10:08:24-11736,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-133-20230714-10:08:24-11736,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-133-20230714-10:08:24-11736,config,,,**.first.capacity,10,
General-133-20230714-10:08:24-11736,config,,,**.second.capacity,-1,
General-135-20230714-10:08:24-4884,runattr,,,configname,General,
General-135-20230714-10:08:24-4884,runattr,,,datetime,20230714-10:08:24,
General-135-20230714-10:08:24-4884,runattr,,,datetimef,20230714-100824,
General-135-20230714-10:08:24-4884,runattr,,,experiment,General,
General-135-20230714-10:08:24-4884,runattr,,,inifile,omnetpp.ini,
General-135-20230714-10:08:24-4884,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-135-20230714-10:08:24-4884,runattr,,,iterationvarsd,0.28/0.5,
General-135-20230714-10:08:24-4884,runattr,,,iterationvarsf,"0.28,0.5-",
General-135-20230714-10:08:24-4884,runattr,,,measurement,"$0=0.28, $1=0.5",
General-135-20230714-10:08:24-4884,runattr,,,network,Network,
General-135-20230714-10:08:24-4884,runattr,,,processid,4884,
General-135-20230714-10:08:24-4884,runattr,,,repetition,15,
General-135-20230714-10:08:24-4884,runattr,,,replication,#15,
General-135-20230714-10:08:24-4884,runattr,,,resultdir,results,
General-135-20230714-10:08:24-4884,runattr,,,runnumber,135,
General-135-20230714-10:08:24-4884,runattr,,,seedset,135,
General-135-20230714-10:08:24-4884,config,,,sim-time-limit,5000s,
General-135-20230714-10:08:24-4884,config,,,network,Network,
General-135-20230714-10:08:24-4884,config,,,config-recording,all,
General-135-20230714-10:08:24-4884,config,,,repeat,20,
General-135-20230714-10:08:24-4884,config,,,**.scalar-recording,true,
General-135-20230714-10:08:24-4884,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-135-20230714-10:08:24-4884,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-135-20230714-10:08:24-4884,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-135-20230714-10:08:24-4884,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-135-20230714-10:08:24-4884,config,,,**.first.Threshold,10,
General-135-20230714-10:08:24-4884,config,,,**.second.Threshold,3,
General-135-20230714-10:08:24-4884,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-135-20230714-10:08:24-4884,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-135-20230714-10:08:24-4884,config,,,**.first.capacity,10,
General-135-20230714-10:08:24-4884,config,,,**.second.capacity,-1,
General-134-20230714-10:08:24-7460,runattr,,,configname,General,
General-134-20230714-10:08:24-7460,runattr,,,datetime,20230714-10:08:24,
General-134-20230714-10:08:24-7460,runattr,,,datetimef,20230714-100824,
General-134-20230714-10:08:24-7460,runattr,,,experiment,General,
General-134-20230714-10:08:24-7460,runattr,,,inifile,omnetpp.ini,
General-134-20230714-10:08:24-7460,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-134-20230714-10:08:24-7460,runattr,,,iterationvarsd,0.28/0.5,
General-134-20230714-10:08:24-7460,runattr,,,iterationvarsf,"0.28,0.5-",
General-134-20230714-10:08:24-7460,runattr,,,measurement,"$0=0.28, $1=0.5",
General-134-20230714-10:08:24-7460,runattr,,,network,Network,
General-134-20230714-10:08:24-7460,runattr,,,processid,7460,
General-134-20230714-10:08:24-7460,runattr,,,repetition,14,
General-134-20230714-10:08:24-7460,runattr,,,replication,#14,
General-134-20230714-10:08:24-7460,runattr,,,resultdir,results,
General-134-20230714-10:08:24-7460,runattr,,,runnumber,134,
General-134-20230714-10:08:24-7460,runattr,,,seedset,134,
General-134-20230714-10:08:24-7460,config,,,sim-time-limit,5000s,
General-134-20230714-10:08:24-7460,config,,,network,Network,
General-134-20230714-10:08:24-7460,config,,,config-recording,all,
General-134-20230714-10:08:24-7460,config,,,repeat,20,
General-134-20230714-10:08:24-7460,config,,,**.scalar-recording,true,
General-134-20230714-10:08:24-7460,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-134-20230714-10:08:24-7460,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-134-20230714-10:08:24-7460,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-134-20230714-10:08:24-7460,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-134-20230714-10:08:24-7460,config,,,**.first.Threshold,10,
General-134-20230714-10:08:24-7460,config,,,**.second.Threshold,3,
General-134-20230714-10:08:24-7460,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-134-20230714-10:08:24-7460,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-134-20230714-10:08:24-7460,config,,,**.first.capacity,10,
General-134-20230714-10:08:24-7460,config,,,**.second.capacity,-1,
General-136-20230714-10:08:24-1152,runattr,,,configname,General,
General-136-20230714-10:08:24-1152,runattr,,,datetime,20230714-10:08:24,
General-136-20230714-10:08:24-1152,runattr,,,datetimef,20230714-100824,
General-136-20230714-10:08:24-1152,runattr,,,experiment,General,
General-136-20230714-10:08:24-1152,runattr,,,inifile,omnetpp.ini,
General-136-20230714-10:08:24-1152,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-136-20230714-10:08:24-1152,runattr,,,iterationvarsd,0.28/0.5,
General-136-20230714-10:08:24-1152,runattr,,,iterationvarsf,"0.28,0.5-",
General-136-20230714-10:08:24-1152,runattr,,,measurement,"$0=0.28, $1=0.5",
General-136-20230714-10:08:24-1152,runattr,,,network,Network,
General-136-20230714-10:08:24-1152,runattr,,,processid,1152,
General-136-20230714-10:08:24-1152,runattr,,,repetition,16,
General-136-20230714-10:08:24-1152,runattr,,,replication,#16,
General-136-20230714-10:08:24-1152,runattr,,,resultdir,results,
General-136-20230714-10:08:24-1152,runattr,,,runnumber,136,
General-136-20230714-10:08:24-1152,runattr,,,seedset,136,
General-136-20230714-10:08:24-1152,config,,,sim-time-limit,5000s,
General-136-20230714-10:08:24-1152,config,,,network,Network,
General-136-20230714-10:08:24-1152,config,,,config-recording,all,
General-136-20230714-10:08:24-1152,config,,,repeat,20,
General-136-20230714-10:08:24-1152,config,,,**.scalar-recording,true,
General-136-20230714-10:08:24-1152,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-136-20230714-10:08:24-1152,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-136-20230714-10:08:24-1152,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-136-20230714-10:08:24-1152,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-136-20230714-10:08:24-1152,config,,,**.first.Threshold,10,
General-136-20230714-10:08:24-1152,config,,,**.second.Threshold,3,
General-136-20230714-10:08:24-1152,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-136-20230714-10:08:24-1152,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-136-20230714-10:08:24-1152,config,,,**.first.capacity,10,
General-136-20230714-10:08:24-1152,config,,,**.second.capacity,-1,
General-139-20230714-10:08:24-9956,runattr,,,configname,General,
General-139-20230714-10:08:24-9956,runattr,,,datetime,20230714-10:08:24,
General-139-20230714-10:08:24-9956,runattr,,,datetimef,20230714-100824,
General-139-20230714-10:08:24-9956,runattr,,,experiment,General,
General-139-20230714-10:08:24-9956,runattr,,,inifile,omnetpp.ini,
General-139-20230714-10:08:24-9956,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-139-20230714-10:08:24-9956,runattr,,,iterationvarsd,0.28/0.5,
General-139-20230714-10:08:24-9956,runattr,,,iterationvarsf,"0.28,0.5-",
General-139-20230714-10:08:24-9956,runattr,,,measurement,"$0=0.28, $1=0.5",
General-139-20230714-10:08:24-9956,runattr,,,network,Network,
General-139-20230714-10:08:24-9956,runattr,,,processid,9956,
General-139-20230714-10:08:24-9956,runattr,,,repetition,19,
General-139-20230714-10:08:24-9956,runattr,,,replication,#19,
General-139-20230714-10:08:24-9956,runattr,,,resultdir,results,
General-139-20230714-10:08:24-9956,runattr,,,runnumber,139,
General-139-20230714-10:08:24-9956,runattr,,,seedset,139,
General-139-20230714-10:08:24-9956,config,,,sim-time-limit,5000s,
General-139-20230714-10:08:24-9956,config,,,network,Network,
General-139-20230714-10:08:24-9956,config,,,config-recording,all,
General-139-20230714-10:08:24-9956,config,,,repeat,20,
General-139-20230714-10:08:24-9956,config,,,**.scalar-recording,true,
General-139-20230714-10:08:24-9956,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-139-20230714-10:08:24-9956,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-139-20230714-10:08:24-9956,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-139-20230714-10:08:24-9956,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-139-20230714-10:08:24-9956,config,,,**.first.Threshold,10,
General-139-20230714-10:08:24-9956,config,,,**.second.Threshold,3,
