run,type,module,name,attrname,attrvalue,value
General-83-20230714-10:08:20-12564,runattr,,,configname,General,
General-83-20230714-10:08:20-12564,runattr,,,datetime,20230714-10:08:20,
General-83-20230714-10:08:20-12564,runattr,,,datetimef,20230714-100820,
General-83-20230714-10:08:20-12564,runattr,,,experiment,General,
General-83-20230714-10:08:20-12564,runattr,,,inifile,omnetpp.ini,
General-83-20230714-10:08:20-12564,runattr,,,iterationvars,"$0=0.33, $1=0.5",
General-83-20230714-10:08:20-12564,runattr,,,iterationvarsd,0.33/0.5,
General-83-20230714-10:08:20-12564,runattr,,,iterationvarsf,"0.33,0.5-",
General-83-20230714-10:08:20-12564,runattr,,,measurement,"$0=0.33, $1=0.5",
General-83-20230714-10:08:20-12564,runattr,,,network,Network,
General-83-20230714-10:08:20-12564,runattr,,,processid,12564,
General-83-20230714-10:08:20-12564,runattr,,,repetition,3,
General-83-20230714-10:08:20-12564,runattr,,,replication,#3,
General-83-20230714-10:08:20-12564,runattr,,,resultdir,results,
General-83-20230714-10:08:20-12564,runattr,,,runnumber,83,
General-83-20230714-10:08:20-12564,runattr,,,seedset,83,
General-83-20230714-10:08:20-12564,config,,,sim-time-limit,5000s,
General-83-20230714-10:08:20-12564,config,,,network,Network,
General-83-20230714-10:08:20-12564,config,,,config-recording,all,
General-83-20230714-10:08:20-12564,config,,,repeat,20,
General-83-20230714-10:08:20-12564,config,,,**.scalar-recording,true,
General-83-20230714-10:08:20-12564,config,,,**.S1.interArrivalTime,exponential(0.33s),
General-83-20230714-10:08:20-12564,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-83-20230714-10:08:20-12564,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-83-20230714-10:08:20-12564,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-83-20230714-10:08:20-12564,config,,,**.first.Threshold,10,
General-83-20230714-10:08:20-12564,config,,,**.second.Threshold,3,
General-83-20230714-10:08:20-12564,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-83-20230714-10:08:20-12564,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-83-20230714-10:08:20-12564,config,,,**.first.capacity,10,
General-83-20230714-10:08:20-12564,config,,,**.second.capacity,-1,
General-92-20230714-10:08:21-3088,runattr,,,configname,General,
General-92-20230714-10:08:21-3088,runattr,,,datetime,20230714-10:08:21,
General-92-20230714-10:08:21-3088,runattr,,,datetimef,20230714-100821,
General-92-20230714-10:08:21-3088,runattr,,,experiment,General,
General-92-20230714-10:08:21-3088,runattr,,,inifile,omnetpp.ini,
General-92-20230714-10:08:21-3088,runattr,,,iterationvars,"$0=0.33, $1=0.5",
General-92-20230714-10:08:21-3088,runattr,,,iterationvarsd,0.33/0.5,
General-92-20230714-10:08:21-3088,runattr,,,iterationvarsf,"0.33,0.5-",
General-92-20230714-10:08:21-3088,runattr,,,measurement,"$0=0.33, $1=0.5",
General-92-20230714-10:08:21-3088,runattr,,,network,Network,
General-92-20230714-10:08:21-3088,runattr,,,processid,3088,
General-92-20230714-10:08:21-3088,runattr,,,repetition,12,
General-92-20230714-10:08:21-3088,runattr,,,replication,#12,
General-92-20230714-10:08:21-3088,runattr,,,resultdir,results,
General-92-20230714-10:08:21-3088,runattr,,,runnumber,92,
General-92-20230714-10:08:21-3088,runattr,,,seedset,92,
